name,description,privacy
org-admins,Organization Administrators,secret
fulfillment-wg,Fulfillment working group,secret
observability-wg,observability working group,secret
personas-wg,Personas working group,secret
documentation-wg,Documentation working group,secret
wg-infra,OSAC Infrastructure working group,closed
